Traject 1
Hilversum;Amsterdam Amstel;Alkmaar-Castricum;Castricum-Alkmaar;52.22583389;5.18194437;52.34666824;4.917778015;28;;
Amsterdam Amstel;Amsterdam Centraal;Alkmaar-Den Helder;Den Helder-Alkmaar;;52.34666824;4.917778015;52.37888718;4.900277615;8;
Rotterdam Blaak;Schiedam Centrum;Amsterdam Sloterdijk-Zaandam;Zaandam-Amsterdam Sloterdijk;;51.92027664;4.488888741;51.92124381;4.408993721;11;168;
Total time of 168 minutes.;;Amsterdam Zuid-Amsterdam Sloterdijk;Amsterdam Sloterdijk-Amsterdam Zuid;;;;;;;;
Traject 2;;Amsterdam Zuid-Schiphol Airport;Schiphol Airport-Amsterdam Zuid;;;;;;;;
Utrecht Centraal;Amsterdam Centraal;Apeldoorn-Amersfoort;Amersfoort-Apeldoorn;;52.08889008;5.110277653;52.37888718;4.900277615;27;;
Amsterdam Centraal;Almere Centrum;;;;52.37888718;4.900277615;52.37503;5.21764;20;;
Almere Centrum;Amsterdam Amstel;Arnhem Centraal-Dieren;Dieren-Arnhem Centraal;;52.37503;5.21764;52.34666824;4.917778015;27;;
Amsterdam Amstel;Amsterdam Zuid;Assen-Zwolle;Zwolle-Assen;;52.34666824;4.917778015;52.338889;4.872356;10;;
Amsterdam Zuid;Schiphol Airport;Beverwijk-Haarlem;Haarlem-Beverwijk;;52.338889;4.872356;52.30944443;4.761944294;6;;
Schiphol Airport;Leiden Centraal;Beverwijk-Zaandam;Zaandam-Beverwijk;;52.30944443;4.761944294;52.16611099;4.481666565;15;;
Leiden Centraal;Den Haag Laan v NOI;52.16611099;4.481666565;52.07860947;4.342777729;9;;
Den Haag Laan v NOI;Delft;Breda-Tilburg;Tilburg-Breda;;52.07860947;4.342777729;52.00666809;4.356389046;12;;
Delft;Den Haag Centraal;52.00666809;4.356389046;52.08027649;4.324999809;13;;
Den Haag Centraal;Leiden Centraal;Castricum-Beverwijk;Beverwijk-Castricum;;52.08027649;4.324999809;52.16611099;4.481666565;12;;
Leiden Centraal;Alphen a/d Rijn;Delft-Den Haag Centraal;Den Haag Centraal-Delft;;52.16611099;4.481666565;52.12444305;4.657777786;14;;
Hilversum;Utrecht Centraal;Delft-Schiedam Centrum;Schiedam Centrum-Delft;;52.22583389;5.18194437;52.08889008;5.110277653;15;180;
Total time of 180 minutes.;;Den Haag Centraal-Gouda;Gouda-Den Haag Centraal;;;;;;;;
Traject 3;;Den Haag Centraal-Leiden Centraal;Leiden Centraal-Den Haag Centraal;;;;;;;;
Zwolle;Steenwijk;Den Haag HS-Delft;Delft-Den Haag HS;;52.5047226;6.091944218;52.79151099;6.114555763;24;;
Steenwijk;Heerenveen;Den Haag HS-Leiden Centraal;Leiden Centraal-Den Haag HS;;52.79151099;6.114555763;52.96138763;5.914166451;14;;
Heerenveen;Leeuwarden;Den Haag Laan v NOI-Delft;Delft-Den Haag Laan v NOI;;52.96138763;5.914166451;53.19583511;5.792222023;16;;
Leeuwarden;Groningen;Den Haag Laan v NOI-Gouda;Gouda-Den Haag Laan v NOI;;53.19583511;5.792222023;53.21055603;6.564722061;35;;
Groningen;Assen;Deventer-Almelo;Almelo-Deventer;;53.21055603;6.564722061;52.99166489;6.570833206;17;;
Assen;Zwolle;Deventer-Apeldoorn;Apeldoorn-Deventer;;52.99166489;6.570833206;52.5047226;6.091944218;40;;
Zwolle;Deventer;;;;52.5047226;6.091944218;52.25749969;6.160555363;24;;
Deventer;Apeldoorn;Dieren-Zutphen;Zutphen-Dieren;;52.25749969;6.160555363;52.20916748;5.970277786;10;180;
Total time of 180 minutes.;;Dordrecht-Breda;Breda-Dordrecht;;;;;;;;
Traject 4;;Dordrecht-Roosendaal;Roosendaal-Dordrecht;;;;;;;;
Den Haag Centraal;Gouda;Ede Wageningen-Arnhem Centraal;Arnhem Centraal-Ede Wageningen;;52.08027649;4.324999809;52.01750183;4.704444408;18;;
Gouda;Alphen a/d Rijn;Eindhoven-Helmond;Helmond-Eindhoven;;52.01750183;4.704444408;52.12444305;4.657777786;19;;
Alphen a/d Rijn;Utrecht Centraal;Eindhoven-Weert;Weert-Eindhoven;;52.12444305;4.657777786;52.08889008;5.110277653;28;;
Utrecht Centraal;Ede Wageningen;Etten Leur-Breda;Breda-Etten Leur;;52.08889008;5.110277653;52.02777863;5.673055649;24;;
Ede Wageningen;Arnhem Centraal;Gouda-Alphen a/d Rijn;Alphen a/d Rijn-Gouda;;52.02777863;5.673055649;51.98500061;5.899166584;10;;
Arnhem Centraal;Dieren;Gouda-Den Haag HS;Den Haag HS-Gouda;;51.98500061;5.899166584;52.04499817;6.103055477;12;;
Dieren;Zutphen;Gouda-Rotterdam Alexander;Rotterdam Alexander-Gouda;;52.04499817;6.103055477;52.14527893;6.19416666;8;;
Zutphen;Deventer;Groningen-Assen;Assen-Groningen;;52.14527893;6.19416666;52.25749969;6.160555363;12;;
Deventer;Almelo;;;;52.25749969;6.160555363;52.35805511;6.653888702;24;;
Almelo;Hengelo;Haarlem-Heemstede Aerdenhout;Heemstede Aerdenhout-Haarlem;;52.35805511;6.653888702;52.26166534;6.793889046;10;;
Hengelo;Enschede;Heemstede Aerdenhout-Leiden Centraal;Leiden Centraal-Heemstede Aerdenhout;;52.26166534;6.793889046;52.22249985;6.889999866;7;172;
Total time of 154 minutes.;;Heerenveen-Leeuwarden;Leeuwarden-Heerenveen;;;;;;;;
Traject 5;;Helmond-Venlo;Venlo-Helmond;;;;;;;;
Rotterdam Blaak;Dordrecht;Hengelo-Enschede;Enschede-Hengelo;;51.92027664;4.488888741;51.80722046;4.66833353;14;;
Dordrecht;Breda;Hilversum-Almere Centrum;Almere Centrum-Hilversum;;51.80722046;4.66833353;51.59555435;4.78000021;18;;
Breda;Tilburg;Hilversum-Amsterdam Amstel;Amsterdam Amstel-Hilversum;;51.59555435;4.78000021;51.5605545;5.083611012;13;;
Tilburg;s Hertogenbosch;Hilversum-Utrecht Centraal;Utrecht Centraal-Hilversum;;51.5605545;5.083611012;51.69048;5.29362;15;;
s Hertogenbosch;Oss;Hoorn-Alkmaar;Alkmaar-Hoorn;;51.69048;5.29362;51.76555634;5.532222271;11;;
Oss;Nijmegen;Leeuwarden-Groningen;Groningen-Leeuwarden;;51.76555634;5.532222271;51.84361267;5.852222443;16;;
Nijmegen;Arnhem Centraal;Leiden Centraal-Alphen a/d Rijn;Alphen a/d Rijn-Leiden Centraal;;51.84361267;5.852222443;51.98500061;5.899166584;12;;
Arnhem Centraal;Dieren;;;;51.98500061;5.899166584;52.04499817;6.103055477;12;;
Dieren;Zutphen;Leiden Centraal-Den Haag Laan v NOI;Den Haag Laan v NOI-Leiden Centraal;;52.04499817;6.103055477;52.14527893;6.19416666;8;;
Zutphen;Apeldoorn;Leiden Centraal-Schiphol Airport;Schiphol Airport-Leiden Centraal;;52.14527893;6.19416666;52.20916748;5.970277786;20;;
Apeldoorn;Amersfoort;Maastricht-Sittard;Sittard-Maastricht;;52.20916748;5.970277786;52.1538887;5.370555401;24;;
Amersfoort;Utrecht Centraal;Nijmegen-Arnhem Centraal;Arnhem Centraal-Nijmegen;;52.1538887;5.370555401;52.08889008;5.110277653;14;177;
Total time of 177 minutes.;;Oss-Nijmegen;Nijmegen-Oss;;;;;;;;
Traject 6;;Roermond-Sittard;Sittard-Roermond;;;;;;;;
Roosendaal;Etten Leur;Roosendaal-Etten Leur;Etten Leur-Roosendaal;;51.54027939;4.458333492;51.57500076;4.635833263;11;;
Etten Leur;Breda;Roosendaal-Vlissingen;Vlissingen-Roosendaal;;51.57500076;4.635833263;51.59555435;4.78000021;7;;
Breda;Tilburg;Rotterdam Alexander-Rotterdam Blaak;Rotterdam Blaak-Rotterdam Alexander;;51.59555435;4.78000021;51.5605545;5.083611012;13;;
Tilburg;Eindhoven;Rotterdam Alexander-Rotterdam Centraal;Rotterdam Centraal-Rotterdam Alexander;;51.5605545;5.083611012;51.44333267;5.481389046;21;;
Eindhoven;Weert;Rotterdam Blaak-Dordrecht;Dordrecht-Rotterdam Blaak;;51.44333267;5.481389046;51.24861145;5.703610897;17;;
Weert;Roermond;Rotterdam Blaak-Schiedam Centrum;Schiedam Centrum-Rotterdam Blaak;;51.24861145;5.703610897;51.1930542;5.994166851;14;;
Roermond;Sittard;Rotterdam Centraal-Dordrecht;Dordrecht-Rotterdam Centraal;;51.1930542;5.994166851;51.00166702;5.858611107;15;;
Sittard;Maastricht;;;;51.00166702;5.858611107;50.85027695;5.705555439;15;;
Maastricht;Sittard;s Hertogenbosch-Eindhoven;Eindhoven-s Hertogenbosch;;50.85027695;5.705555439;51.00166702;5.858611107;15;;
Sittard;Heerlen;s Hertogenbosch-Oss;Oss-s Hertogenbosch;;51.00166702;5.858611107;50.89083481;5.974999905;15;143;
Total time of 176 minutes.;;Schiedam Centrum-Rotterdam Centraal;Rotterdam Centraal-Schiedam Centrum;;;;;;;;
Traject 7;;;;;;;;;;;
Amsterdam Zuid;Amsterdam Sloterdijk;Schiphol Airport-Utrecht Centraal;Utrecht Centraal-Schiphol Airport;;52.338889;4.872356;52.38888931;4.837777615;16;;
Amsterdam Sloterdijk;Haarlem;Sittard-Heerlen;Heerlen-Sittard;;52.38888931;4.837777615;52.38777924;4.638333321;11;;
Haarlem;Beverwijk;;;;52.38777924;4.638333321;52.47833252;4.656666756;16;;
Beverwijk;Zaandam;Steenwijk-Heerenveen;Heerenveen-Steenwijk;;52.47833252;4.656666756;52.43888855;4.813611031;25;;
Zaandam;Hoorn;Tilburg-Eindhoven;Eindhoven-Tilburg;;52.43888855;4.813611031;52.64472198;5.055555344;26;;
Hoorn;Alkmaar;Tilburg-s Hertogenbosch;s Hertogenbosch-Tilburg;;52.64472198;5.055555344;52.63777924;4.739722252;24;;
Alkmaar;Castricum;;;;52.63777924;4.739722252;52.54583359;4.658611298;9;;
Castricum;Alkmaar;;;;52.54583359;4.658611298;52.63777924;4.739722252;9;;
Alkmaar;Den Helder;;;;52.63777924;4.739722252;52.95527649;4.761111259;36;172;
Total time of 172 minutes.;;;;;;;;;;;
Traject 8;;;;;;;;;;;
Almelo;Zwolle;;;;52.35805511;6.653888702;52.5047226;6.091944218;42;;
Zwolle;Amersfoort;;;;52.5047226;6.091944218;52.1538887;5.370555401;35;;
Amersfoort;Utrecht Centraal;;;;52.1538887;5.370555401;52.08889008;5.110277653;14;;
Utrecht Centraal;s Hertogenbosch;;;;52.08889008;5.110277653;51.69048;5.29362;27;;
s Hertogenbosch;Eindhoven;;;;51.69048;5.29362;51.44333267;5.481389046;18;;
Eindhoven;Helmond;;;;51.44333267;5.481389046;51.47555542;5.661944389;9;;
Helmond;Venlo;;;;51.47555542;5.661944389;51.36360931;6.172777653;30;175;
Total time of 175 minutes.;;;;;;;;;;;
Traject 9;;;;;;;;;;;
Amsterdam Amstel;Utrecht Centraal;;;;52.34666824;4.917778015;52.08889008;5.110277653;19;;
Utrecht Centraal;Gouda;;;;52.08889008;5.110277653;52.01750183;4.704444408;18;;
Gouda;Rotterdam Alexander;;;;52.01750183;4.704444408;51.95194626;4.553611279;10;;
Rotterdam Alexander;Rotterdam Centraal;;;;51.95194626;4.553611279;51.92499924;4.46888876;8;;
Rotterdam Centraal;Dordrecht;;;;51.92499924;4.46888876;51.80722046;4.66833353;17;;
Dordrecht;Roosendaal;Utrecht Centraal-Amsterdam Centraal;Amsterdam Centraal-Utrecht Centraal;;51.80722046;4.66833353;51.54027939;4.458333492;22;;
Roosendaal;Vlissingen;Utrecht Centraal-Ede Wageningen;Ede Wageningen-Utrecht Centraal;;51.54027939;4.458333492;51.44583511;3.595277786;63;157;
Total time of 176 minutes.;;Utrecht Centraal-Gouda;Gouda-Utrecht Centraal;;;;;;;;
Traject 10;;;;;;;;;;;
Den Haag Laan v NOI;Gouda;Utrecht Centraal-s Hertogenbosch;s Hertogenbosch-Utrecht Centraal;;52.07860947;4.342777729;52.01750183;4.704444408;28;;
Gouda;Den Haag HS;Weert-Roermond;Roermond-Weert;;52.01750183;4.704444408;52.06972122;4.322500229;21;;
Den Haag HS;Leiden Centraal;Zaandam-Castricum;Castricum-Zaandam;;52.06972122;4.322500229;52.16611099;4.481666565;12;;
Leiden Centraal;Schiphol Airport;Zaandam-Hoorn;Hoorn-Zaandam;;52.16611099;4.481666565;52.30944443;4.761944294;15;;
Schiphol Airport;Utrecht Centraal;Zutphen-Apeldoorn;Apeldoorn-Zutphen;;52.30944443;4.761944294;52.08889008;5.110277653;33;;
Utrecht Centraal;Hilversum;Zutphen-Deventer;Deventer-Zutphen;;52.08889008;5.110277653;52.22583389;5.18194437;15;;
Hilversum;Almere Centrum;Zwolle-Amersfoort;Amersfoort-Zwolle;;52.22583389;5.18194437;52.37503;5.21764;26;;
Almere Centrum;Lelystad Centrum;Zwolle-Deventer;Deventer-Zwolle;;52.37503;5.21764;52.50777817;5.472777843;14;164;
Total time of 164 minutes.;;Zwolle-Steenwijk;Steenwijk-Zwolle;;;;;;;;
